Games	Category	type	Price	Platform	Release area	Date
tower defender	Game	Puzzle	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/12/2022 00:00:00
Pets VR	Game	Puzzle	$4.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/12/2022 00:00:00
The Walking Dead: S&S - Chapter 2: Retribution	Game	shooting	$39.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	23/12/2022 00:00:00
Color Connect	Game	Puzzle	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	23/12/2022 00:00:00
Cooking Simulator	Game	simulation	$24.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	22/12/2022 00:00:00
Till tomorrow	Game	Puzzle	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	22/12/2022 00:00:00
Lucky Fish Bread	Game	Puzzle	$11.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	22/12/2022 00:00:00
Pistol Whip	Game	shooting	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	15/12/2022 00:00:00
Survival Nation	Game	shooting	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	15/12/2022 00:00:00
Pioneer: Endless Journey	Game	shooting	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	15/12/2022 00:00:00
Ancient Dungeon	Game	Adventure	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	09/12/2022 00:00:00
Red Matter 2	Game	Adventure	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	08/12/2022 00:00:00
Beers and Boomerangs	Game	Puzzle	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	08/12/2022 00:00:00
Peaky Blinders Demo	Game	Adventure	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global,No Korea	01/12/2022 00:00:00
Squingle	Game	Puzzle	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	01/12/2022 00:00:00
Gun Raiders	Game	shooting	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	25/11/2022 00:00:00
Creed: Rise to Glory™	Game	Action fighting	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	25/11/2022 00:00:00
Little Cities	Game	simulation	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/11/2022 00:00:00
The Fight	Game	Action fighting	$4.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/11/2022 00:00:00
Beat Blaster	Game	Music rhythm| sports fitness	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	17/11/2022 00:00:00
Nock	Game	Workout	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	17/11/2022 00:00:00
Drop Dead	Game	shooting	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	17/11/2022 00:00:00
Sairento VR: Untethered	Game	shooting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	17/11/2022 00:00:00
Legendary Hunter VR	Game	simulation	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	17/11/2022 00:00:00
The Patcher	Game	Action fighting	$24.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	10/11/2022 00:00:00
Millennial Female Ghost	Game	Horror	$6.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	10/11/2022 00:00:00
Omission Meeting	App	other	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	10/11/2022 00:00:00
Space Fitness	Game	Workout	$5.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	10/11/2022 00:00:00
Outlaws	Game	role play	$4.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	10/11/2022 00:00:00
cube riddle	Game	Puzzle	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	09/11/2022 00:00:00
CRIME CRACKER	Game	shooting	$4.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	08/11/2022 00:00:00
STYLY	App	other	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	07/11/2022 00:00:00
Operation Warcade demo	Game	shooting	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	03/11/2022 00:00:00
Warhammer 40,000: Battle Sister	Game	shooting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/10/2022 00:00:00
Blast Beat	Game	Workout	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/10/2022 00:00:00
Spacefolk City	Game	Puzzle	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/10/2022 00:00:00
MasterBuilder	Game	Puzzle	$13.99	PICO 4 Onboard	Global	27/10/2022 00:00:00
Star Shaman	Game	role play	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/10/2022 00:00:00
Madrid Noir	App	other	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/10/2022 00:00:00
Private Property	Game	shooting	$12.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	25/10/2022 00:00:00
The Tale of Onogoro	Game	role play	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	20/10/2022 00:00:00
Rush	Game	Racing	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	20/10/2022 00:00:00
MageCosmos	Game	Multiplayer social	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	20/10/2022 00:00:00
Escape Legacy VR	Game	Horror	$2.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	20/10/2022 00:00:00
Lost in Abyss	Game	Horror	$6.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	13/10/2022 00:00:00
Virtual Desktop	App	other	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	13/10/2022 00:00:00
Little Monster: Super Party（Korean）	Game	Multiplayer social	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Only Korea	13/10/2022 00:00:00
Rezzil Player	Game	Workout	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	13/10/2022 00:00:00
Goliath: Playing with Reality	Game	other	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	13/10/2022 00:00:00
Space Pirate Trainer	Game	shooting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	06/10/2022 00:00:00
Townscaper	Game	Puzzle	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	06/10/2022 00:00:00
Ruins Magus	Game	Adventure	$34.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	06/10/2022 00:00:00
Gorn	Game	Action fighting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	06/10/2022 00:00:00
Drums Rock	Game	Music rhythm	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	06/10/2022 00:00:00
Fruit Ninja	Game	Puzzle	$14.99	PICO 4 Onboard	Global	06/10/2022 00:00:00
2MD: VR Football Unleashed ALL-STAR	Game	Workout	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Aery - A Journey Beyond Time VR	Game	Puzzle	$5.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Aery - Broken Memories	Game	Puzzle	$5.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Aery - Calm Mind VR	Game	Puzzle	$5.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Aery - Dreamscape	Game	Puzzle	$5.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Doctor Who: The Edge of Time	Game	Adventure	$18.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Realms of Eternity	Game	Action fighting	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Immortal Legacy: The Jade Cipher	Game	Adventure	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Reflection	Game	Adventure	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Les Mills Bodycombat	Game	Workout	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	29/09/2022 00:00:00
Green Hell VR	Game	Adventure	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/09/2022 00:00:00
Espire 1	Game	shooting	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/09/2022 00:00:00
Real VR Fishing	Game	simulation	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/09/2022 00:00:00
All-In-One Summer Sports VR	Game	Workout	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/09/2022 00:00:00
Blade & Sorcery: Nomad	Game	Adventure	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/09/2022 00:00:00
Shores of Loci	Game	Puzzle	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/09/2022 00:00:00
Rec Room	Game	Multiplayer social	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	27/09/2022 00:00:00
Alvo VR	Game	shooting	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	22/09/2022 00:00:00
Mini Motor Racing X	Game	Racing	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	22/09/2022 00:00:00
Virtuoso	App	other	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	22/09/2022 00:00:00
Aery VR - Little Bird Adventure	Game	Puzzle	$5.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	22/09/2022 00:00:00
Ultimechs	Game	Workout	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	16/09/2022 00:00:00
Tentacular	Game	Puzzle| Adventure	$24.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	15/09/2022 00:00:00
Spheres	App	other	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	15/09/2022 00:00:00
Hangman at Home	App	other	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	15/09/2022 00:00:00
Jellyfish	App	other	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	15/09/2022 00:00:00
Paper Birds	App	other	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	15/09/2022 00:00:00
Dance Hime: Rhythmic elimination	Game	Puzzle	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	15/09/2022 00:00:00
AFFECTED: The Manor - Complete Edition	Game	Adventure	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	08/09/2022 00:00:00
TOKYO CHRONOS	Game	Adventure	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	08/09/2022 00:00:00
Knockout League	Game	Fitness| action fighting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	08/09/2022 00:00:00
ContractorsVR	Game	shooting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	01/09/2022 00:00:00
Richie's Plank Experience	Game	Puzzle| simulation	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	25/08/2022 10:00:00
V-Speedway	Game	Racing	$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	25/08/2022 10:00:00
Crazy World VR	Game	Sports and fitness| multiplayer social interaction	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	25/08/2022 10:00:00
Cities: VR	App	simulation	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	18/08/2022 10:00:00
Song in the Smoke	Game	Adventure| role -playing	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	18/08/2022 10:00:00
Archery Land	Game	Fitness| shooting	$4.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	18/08/2022 10:00:00
Rainbow Reactor: Fusion	Game	Puzzle	$11.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	18/08/2022 10:00:00
Pico Video	App		$0.00	 Neo 3 Link Onboard,PICO 4 Onboard	Germany, France, Spain, Netherlands, Japan, Korea, Malaysia, Singapore	15/07/2022 00:00:00
SolarBlack 	Game	Music rhythm| sports fitness	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	14/07/2022 00:00:00
ARK-ADE	Game	shooting	$9.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	11/07/2022 00:00:00
Gun Club VR	Game	Shooting| simulation	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	07/07/2022 00:00:00
Wands Alliances	Game	role play	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	02/07/2022 00:00:00
Pierhead Arcade 2 Mobile	Game	Social| Puzzle	$14.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	30/06/2022 00:00:00
BoomBox	Game	Music rhythm	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	30/06/2022 00:00:00
OPERATION SERPENS	Game	shooting	$7.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/06/2022 00:00:00
Virtual Fighting Championship	Game	Action fighting	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/06/2022 00:00:00
Down the Rabbit Hole	Game	Adventure| role -playing	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	24/06/2022 00:00:00
Arithmaze	Game	Puzzle	$6.00	 Neo 3 Link Onboard,PICO 4 Onboard	Global	21/06/2022 00:00:00
Audio Trip	Game	Music rhythm	$19.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	20/06/2022 00:00:00
Last Labyrinth	Game	Adventure| role -playing	$29.99	 Neo 3 Link Onboard,PICO 4 Onboard	Global	20/06/2022 00:00:00
